"Número de identificação da publicação","Link permanente","Publicar mensagem",Tipo,Países,Idiomas,Publicado,"Direcionamento do público","Vitalício: alcance total da publicação","Vitalício: alcance orgânico da publicação","Vitalício: alcance pago da publicação","Vitalício: total de impressões da publicação","Vitalício: impressões orgânicas da publicação","Vitalício: impressões pagas da publicação","Vitalício: usuários envolvidos","Vitalício: consumidores de direcionamento do público com correspondência na publicação","Vitalício: consumos de direcionamento do público com correspondência na publicação","Vitalício: comentários negativos dos usuários","Vitalício: feedback negativo","Vitalício: impressões da publicação por pessoas que curtiram sua Página","Vitalício: alcance da publicação por pessoas que curtiram sua Página","Vitalício: impressões pagas da publicação por pessoas que curtiram sua Página","Vitalício: alcance pago de uma publicação por pessoas que curtiram sua Página","Vitalício: pessoas que curtiram sua Página e se envolveram com a sua publicação","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% orgânicas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações até 95% pagas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo orgânicas","Vitalício: visualizações do vídeo pagas","Vitalício: visualizações do vídeo pagas","Vitalício: tempo médio de visualização do vídeo","Duração de vídeo vitalícia","Vitalício: Falando sobre isso (publicação) por tipo de ação - share","Vitalício: Falando sobre isso (publicação) por tipo de ação - like","Vitalício: Falando sobre isso (publicação) por tipo de ação - comment","Vitalício: histórias da publicação por tipo de ação - share","Vitalício: histórias da publicação por tipo de ação - like","Vitalício: histórias da publicação por tipo de ação - comment","Consumos únicos de direcionamento para público de publicações vitalício por tipo - video play","Consumos únicos de direcionamento para público de publicações vitalício por tipo - other clicks","Consumos únicos de direcionamento para público de publicações vitalício por tipo - photo view","Consumos únicos de direcionamento para público de publicações vitalício por tipo - link clicks","Consumos de direcionamento para público correspondente vitalício por tipo - video play","Consumos de direcionamento para público correspondente vitalício por tipo - other clicks","Consumos de direcionamento para público correspondente vitalício por tipo - photo view","Consumos de direcionamento para público correspondente vitalício por tipo - link clicks","Vitalício: comentários negativos de usuários por tipo - hide_clicks","Vitalício: comentários negativos de usuários por tipo - hide_all_clicks","Vitalício: feedback negativo por tipo - hide_clicks","Vitalício: feedback negativo por tipo - hide_all_clicks"
218725464821904_2170213236339774,https://www.facebook.com/faculdadecn/posts/2170213236339774,"Atenção alunos!
Programa Escola da Família abre inscrições para novos bolsistas.
Orientamos que os candidatos a bolsas de estudo deverão ter conhecimento prévio do Regulamento do Projeto, disponível no site http://escoladafamilia.fde.sp.gov.br/default.asp",Photo,,,"08/06/2018 11:07:08 AM"," ",1472,1472,0,2027,2027,0,97,60,76,0,0,1010,719,0,0,66,0,0,0,0,0,0,0,0,0,0,12,41,3,13,48,3,,47,10,11,,52,10,14,,,,
218725464821904_2165062520188179,https://www.facebook.com/faculdadecn/posts/2165062520188179,"A Faculdade Canção Nova promove às quartas-feiras o Curso de Extensão Libras: adaptação de materiais didáticos em português e matemática. O curso é direcionado para professores da rede municipal e estadual das escolas de Cachoeira Paulista e região. 
Faça sua inscrição pelo site https://extensao.fcn.edu.br/",Photo,,,"08/03/2018 12:46:31 PM"," ",321,321,0,415,415,0,9,2,3,1,1,298,213,0,0,9,0,0,0,0,0,0,0,0,0,0,2,7,1,2,7,1,,1,,1,,1,,2,,1,,1
218725464821904_2149517501742681,https://www.facebook.com/faculdadecn/videos/2149517501742681/,"No último final de semana aconteceu o acampamento PHN na comunidade Canção Nova em Cachoeira Paulista -SP,  evento que reuniu mais de 100 mil pessoas. 
A FCN esteve presente e buscou descobrir o que é ser um jovem PHN! 

Confira a resposta de alguns dos milhares participantes do evento !  ;)

Imagens: Renato Gouvea, Marcio Henrique e Gabriel Barbosa

#phn #phn20anos #phn2018 #faculdadecn #FCN",Video,,,"07/25/2018 09:48:13 AM"," ",3023,3023,0,5166,5166,0,294,253,511,0,0,885,589,0,0,77,195,226,0,0,682,950,0,0,10221,60393,20,140,21,21,177,31,103,229,1,,154,356,1,,,,,
218725464821904_2145726862121745,https://www.facebook.com/faculdadecn/posts/2145939525433812,"A Faculdade Canção Nova esteve presente no Acampamento PHN 2018 - 20 anos.",Photo,,,"07/21/2018 08:00:00 AM"," ",747,747,0,1499,1499,0,118,99,187,0,0,1451,706,0,0,107,0,0,0,0,0,0,0,0,0,0,1,39,,1,41,,,26,85,,,63,124,,,,,
218725464821904_2142432012451230,https://www.facebook.com/faculdadecn/videos/2142432012451230/,"A FCN tá no Acampamento PHN. Vem pra cá! #PHN #PHN2018 #PHN20anos #faculdadecn #FCN",Video,,,"07/21/2018 07:42:58 AM"," ",1615,1615,0,2210,2210,0,138,76,111,0,0,846,543,0,0,63,67,73,0,0,599,657,0,0,7444,51497,10,80,,10,83,,29,62,,,37,74,,,,,,
218725464821904_2129528960408202,https://www.facebook.com/faculdadecn/posts/2129528960408202,"A dica cultural de hoje é &quot;O Caçador de Pipas&quot;, de Khaled Hosseini. 
O livro, que também já virou filme, conta a história de Amir e Hassan, dois amigos que crescem juntos em Kabul, no Afeganistão. Quando os dois crescem, suas vidas tomam caminhos diferentes com a mudança de Amir para os Estados Unidos, mas voltam a se cruzar quando ele volta à sua terra natal para ajudar o filho do amigo, que havia se tornado órfão.",Photo,,,"07/13/2018 10:46:22 AM"," ",310,310,0,413,413,0,11,3,4,0,0,344,260,0,0,11,0,0,0,0,0,0,0,0,0,0,1,8,,1,8,,,1,2,,,2,2,,,,,
218725464821904_2127986853895746,https://www.facebook.com/faculdadecn/posts/2127986853895746,"E ai, já fez sua inscrição? 
Venha aprender libras aqui na Faculdade Canção Nova.
Acesse: https://extensao.fcn.edu.br/",Photo,,,"07/12/2018 12:53:17 PM"," ",409,409,0,542,542,0,18,6,6,0,0,354,268,0,0,14,0,0,0,0,0,0,0,0,0,0,3,11,,3,11,,,5,1,,,5,1,,,,,
218725464821904_2125535740807524,https://www.facebook.com/faculdadecn/posts/2125535740807524,"Termina hoje o prazo de inscrições do Processo Seletivo Simplificado.
Não perca tempo! 
Faça sua inscrição através do site: http://www.fcn.edu.br/

Processo seletivo especial, destina-se a interessados a “transferência”, para reabertura de vínculo ou para obtenção de novo título.",Photo,,,"07/11/2018 04:08:32 AM"," ",72,72,0,89,89,0,8,2,2,0,0,60,51,0,0,8,0,0,0,0,0,0,0,0,0,0,,7,,,7,,,2,,,,2,,,,,,
218725464821904_2117495438278221,https://www.facebook.com/faculdadecn/posts/2117495438278221,"Inscrições abertas! 
Processo seletivo especial, destina-se a interessados a “transferência”, para reabertura de vínculo ou para obtenção de novo título. 

Inscrições abertas até 11/07. Faça sua inscrição através do site: http://www.fcn.edu.br/

Confira no edital: http://www.fcn.edu.br/ingresso/",Photo,,,"07/06/2018 08:40:31 AM"," ",484,484,0,640,640,0,21,11,13,0,0,451,334,0,0,17,0,0,0,0,0,0,0,0,0,0,4,11,,4,11,,,7,4,,,9,4,,,,,
218725464821904_2115992978428467,https://www.facebook.com/faculdadecn/videos/2115992978428467/,"Venha aprender Libras no contexto religioso! 
Faça sua inscrição no site: https://extensao.fcn.edu.br/",Video,,,"07/05/2018 12:43:53 PM"," ",516,516,0,677,677,0,20,15,20,0,0,507,372,0,0,17,21,30,0,0,145,169,0,0,5947,27518,3,4,,3,5,,10,8,,1,10,9,,1,,,,
218725464821904_2112483952112703,https://www.facebook.com/faculdadecn/posts/2112483952112703,"Não perca o prazo. ;)",Photo,,,"07/03/2018 11:34:32 AM"," ",385,385,0,514,514,0,17,7,12,0,0,432,316,0,0,17,0,0,0,0,0,0,0,0,0,0,1,11,,1,11,,,6,3,,,7,5,,,,,
218725464821904_2105800576114374,https://www.facebook.com/faculdadecn/posts/2105800576114374,"Processo seletivo especial. 

Inscrições abertas a partir de 02/07. Faça sua inscrição através do site: http://www.fcn.edu.br/

Confira no edital: http://www.fcn.edu.br/wp-content/uploads/2018/06/EDITAL-No.-02-2018.2-PROC-SEL-SEL-SIMP-PORTAL-1.pdf",Photo,,,"07/01/2018 02:00:01 PM"," ",1368,1368,0,1950,1950,0,88,49,67,0,0,1116,749,0,0,68,0,0,0,0,0,0,0,0,0,0,13,47,3,13,55,4,,40,9,4,,51,11,5,,,,
